Date,Price,Open,High,Low,Vol.,Change %
2020-01-29 00:00:00,259.94,258.4,261.57,257.61,35.05M,0.0087
2020-01-28 00:00:00,257.7,257,258.84,254.1,48.14M,0.0093
2020-01-27 00:00:00,255.32,261,262.1,255.32,56.45M,-0.0383
2020-01-24 00:00:00,265.49,264.5,267.5,264.21,27.34M,0.0067
2020-01-23 00:00:00,263.73,264.64,266.89,262.24,40.60M,-0.0105
2020-01-22 00:00:00,266.54,268.72,270.8,265.5,44.28M,-0.0057
2020-01-21 00:00:00,268.06,265.5,268.9,263.02,38.08M,0.0067
2020-01-20 00:00:00,266.28,263.2,266.97,261.8,29.80M,0.0144
2020-01-17 00:00:00,262.5,258.2,262.82,257.75,44.91M,0.0194
2020-01-16 00:00:00,257.51,257.11,259.51,256.1,40.25M,0.0047
2020-01-15 00:00:00,256.31,258.49,258.91,254.21,49.36M,-0.0106
2020-01-14 00:00:00,259.05,262.5,263.22,258.62,31.13M,-0.0128
2020-01-13 00:00:00,262.4,258.3,262.4,257.15,25.86M,0.0163
2020-01-10 00:00:00,258.19,257.86,259.25,256.88,18.85M,0.0008
2020-01-09 00:00:00,257.99,259.4,261.76,257.01,38.33M,-0.0045
2020-01-08 00:00:00,259.15,253.57,259.15,253.03,40.82M,0.0207
2020-01-06 00:00:00,253.9,254.75,254.84,251.4,22.35M,-0.0043
2020-01-03 00:00:00,255,255.99,258.19,253.7,35.85M,0.001
Highest: 296.07,Lowest: 172.15,Difference: 123.92,Average: 234.52,Change %: 14.24,,
